No,순번,본부명,소방서,주소,전화번호,FAX,경도,위도
1,1,서울소방재난본부,강남소방서,서울특별시 강남구 테헤란로 629(삼성동),02-6981-7575,02-556-2119,127.066828873176,37.5102771948081
2,2,서울소방재난본부,강동소방서,서울특별시 강동구 성내로 39(성내동),02-470-0119,02-489-2119,127.125282648794,37.5293785843842
3,3,서울소방재난본부,강북소방서,서울특별시 강북구 한천로 911(번동),02-6946-0200,02-6946-0202,127.038180747593,37.6330506234542
4,4,서울소방재난본부,강서소방서,서울특별시 강서구 양천로 550(등촌동),02-3663-0119,02-3662-0590,126.859758112338,37.5579606361409
5,5,서울소방재난본부,관악소방서,서울특별시 관악구 관악로 97(봉천동),02-6981-8310,02-877-4119,126.952686760258,37.4741266608285
6,6,서울소방재난본부,광진소방서,서울특별시 광진구 광나루로 480(구의동),02-457-0119,02-454-0338,127.082778686238,37.5448273491392
7,7,서울소방재난본부,구로소방서,서울특별시 구로구 경인로 408(고척동),02-2618-0119,02-2619-0121,126.865215227799,37.4977924053507
8,8,서울소방재난본부,노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),02-6981-6910,02-979-6119,127.071107339414,37.6382551285826
9,9,서울소방재난본부,도봉소방서,서울특별시 도봉구 도봉로 666(방학동),02-6981-8119,02-3493-1119,127.043096984986,37.6636453552882
10,10,서울소방재난본부,동대문소방서,서울특별시 동대문구 장한로 34(장안동),02-6942-1310,02-2242-0119,127.066709989213,37.5638420813043
11,11,서울소방재난본부,동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),02-847-1190,02-848-2111,126.917718977426,37.4946737759618
12,12,서울소방재난본부,마포소방서,서울특별시 마포구 창전로 76(신수동),02-6981-7910,02-716-1192,126.933228592582,37.5490736784942
13,13,서울소방재난본부,서대문소방서,서울특별시 서대문구 연희로 182(연희동),02-6981-5510,02-3144-9119,126.935996474908,37.5732058691259
14,14,서울소방재난본부,서초소방서,서울특별시 서초구 사평대로 67(반포동),02-537-0119,02-599-0119,126.992025168116,37.4987888413285
15,15,서울소방재난본부,성동소방서,서울특별시 성동구 살곶이길 331(행당동),02-2622-1711,02-2622-1719,127.039484940963,37.5537565722967
16,16,서울소방재난본부,성북소방서,서울특별시 성북구 종암로 27길 3(종암동),02-6981-7310,02-925-0119,127.031746996734,37.6024214065716
17,17,서울소방재난본부,송파소방서,서울특별시 송파구 오금로51길 56(마천동),02-403-2119,02-431-6119,127.142592765256,37.4998350066004
18,18,서울소방재난본부,양천소방서,서울특별시 양천구 목동서로 180(목동),02-2655-1119,02-2651-6119,126.872341553474,37.5302352033935
19,19,서울소방재난본부,영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),02-6981-7119,02-6981-7110,126.904189124445,37.5184392565295
20,20,서울소방재난본부,용산소방서,서울특별시 용산구 한강대로 167(한강로2가),02-794-0119,02-792-5117,126.971507147937,37.5341085280183
21,21,서울소방재난본부,은평소방서,서울특별시 은평구 통일로 962(진관동),02-355-0119,02-382-1149,126.920196978205,37.6287430441443
22,22,서울소방재난본부,종로소방서,서울특별시 종로구 종로1길 28(수송동),02-735-6119,02-739-0119,126.978907888729,37.5728498408425
23,23,서울소방재난본부,중부소방서,서울특별시 중구 퇴계로 394(무학동),02-2234-0119,02-2252-1516,127.015378843602,37.5648660247626
24,24,서울소방재난본부,중랑소방서,서울특별시 중랑구 신내로 183(신내동),02-6981-8920,02-3421-3911,127.094884861454,37.6153830846235
25,25,부산소방재난본부,강서소방서,부산광역시 강서구 녹산산단361로 9(송정동),051-760-5000,051-760-5019,128.856793511147,35.0895960147994
26,26,부산소방재난본부,금정소방서,부산광역시 금정구 중앙대로 1789(부곡동),051-760-4700,051-760-5019,129.092792551988,35.2440511511761
27,27,부산소방재난본부,기장소방서,부산광역시 기장군 정관면 용수로 7,051-760-5100,051-760-5119,129.179900226704,35.3248180612538
28,28,부산소방재난본부,부산진소방서,부산광역시 동구 범일로 115(범일동),051-760-4200,051-760-4219,129.059045963164,35.1404333109646
29,29,부산소방재난본부,북부소방서,부산광역시 사상구 삼덕로 17(삼락동),051-760-4400,051-760-4419,128.978473110815,35.1745880234864
30,30,부산소방재난본부,사하소방서,부산광역시 사하구 장평로 270(신평동),051-760-4500,051-760-4529,128.973411554653,35.0906364907454
31,31,부산소방재난본부,남부소방서,부산광역시 수영구 광일로 64(광안동),051-760-4800,051-760-4819,129.107041216981,35.1631610761748
32,32,부산소방재난본부,동래소방서,부산광역시 연제구 고분로 216(연산동),051-760-4300,051-760-4319,129.105746501817,35.1834416683785
33,33,부산소방재난본부,항만소방서,부산광역시 영도구 해양로 297(동삼동),051-760-4900,051-760-4919,129.076864473421,35.0817884947626
34,34,부산소방재난본부,중부소방서,부산광역시 중구 충장대로 6(중앙동4가),051-760-4100,051-760-4119,129.037121807557,35.104698431658
35,35,부산소방재난본부,해운대소방서,부산광역시 해운대구 해운대해변로 106(우동),051-760-4600,051-760-4619,129.143703314643,35.1595596598417
36,36,대구소방안전본부,달서소방서,대구광역시 달서구 학산로 75,053-607-2216,053-635-0532,128.534732825606,35.8310604306612
37,37,대구소방안전본부,강서소방서,대구광역시 달성군 다사읍 달구벌대로 920,053-601-4600,053-592-2119,128.467426114122,35.8554227373193
38,38,대구소방안전본부,달성소방서,대구광역시 달성군 현풍읍 비슬로 480,053-670-5200,053-670-5209,128.446945562932,35.6824952661062
39,39,대구소방안전본부,동부소방서,대구광역시 동구 동대구로 507,053-601-4317,053-751-9953,128.625221229788,35.8759845387211
40,40,대구소방안전본부,북부소방서,대구광역시 북구 칠성남로 112,053-350-4700,053-350-4719,128.592314468581,35.8780012694154
41,41,대구소방안전본부,서부소방서,대구광역시 서구 달서천로 186,053-320-4499,053-357-1803,128.554385834193,35.8818754260479
42,42,대구소방안전본부,수성소방서,대구광역시 수성구 청호로 87,053-780-5213,053-782-4223,128.644225423966,35.8254698290568
43,43,대구소방안전본부,중부소방서,대구광역시 중구 달구벌대로 1926,053-601-4517,053-256-6119,128.575134929452,35.8621614522406
44,44,광주소방안전본부,광산소방서,광주광역시 광산구 하남산단1번로 13(하남동),062-613-8813,062-613-8819,126.796326748644,35.1861644872099
45,45,광주소방안전본부,남부소방서,광주광역시 남구 송암로58번길 13(송하동),062-613-8613,062-613-8619,126.878340127852,35.1105071635276
46,46,광주소방안전본부,동부소방서,광주광역시 동구 제봉로 210(대인동),062-613-8413,062-613-8419,126.914553175723,35.154609676383
47,47,광주소방안전본부,북부소방서,광주광역시 북구 서하로 290(오치동),062-613-8713,062-613-8719,126.912224298309,35.1867362547989
48,48,광주소방안전본부,서부소방서,광주광역시 서구 화운로 197(화정동),062-613-8513,062-613-8519,126.876545834242,35.1565165193979
49,49,인천소방본부,강화소방서,인천광역시  강화군 강화읍 남문로 23번길 11,032-930-5811,032-439-5119,126.487449568634,37.7396630805502
50,50,인천소방본부,계양소방서,인천광역시  계양구 장제로 774(계산동),032-650-5611,032-432-0550,126.735565402965,37.5371772419339
51,51,인천소방본부,미추홀소방서,인천광역시  남구 인하로 190(주안동),032-870-3216,032-461-1197,126.669004588541,37.4484004872438
52,52,인천소방본부,공단소방서,인천광역시  남동구 남동서로 208(고잔동),032-723-5512,032-579-3119,126.693000514451,37.4081759334525
53,53,인천소방본부,남동소방서,인천광역시  남동구 인주대로 714(구월동),032-870-5210,032-764-7109,126.716298100332,37.4489984826265
54,54,인천소방본부,부평소방서,인천광역시  부평구 부평대로 324(갈산동),032-723-5310,032-766-2119,126.722150358707,37.5202266345115
55,55,인천소방본부,서부소방서,인천광역시  서구 서곶로 292(심곡동),032-723-5440,032-422-0819,126.67724837696,37.5433897728099
56,56,인천소방본부,송도소방서,인천광역시  연수구 첨단대로60번길 15(송도동),032-810-6609,032-506-1190,126.651588096779,37.3672280119307
57,57,인천소방본부,중부소방서,인천광역시  중구 인중로 204(항동),032-870-5115,032-362-1991,126.622570643686,37.4702265953226
58,58,인천소방본부,영종소방서,인천광역시  중구 중구 제2터미널대로 268(운서동),032-727-6110,032-519-1190,126.414706905437,37.4859882345441
59,59,대전소방본부,대덕소방서,대전광역시 대덕구 계족로 682,042-270-1514,042-270-1560,127.428775697648,36.3726879648961
60,60,대전소방본부,동부소방서,대전광역시 동구 계족로 300,042-270-1314,042-270-1360,127.437599692649,36.3391590173054
61,61,대전소방본부,둔산소방서,대전광역시 서구 갈마중로 15,042-270-1413,042-270-1460,127.371117690954,36.3479037814118
62,62,대전소방본부,서부소방서,대전광역시 서구 북부서로 67,042-270-1713,042-270-1960,127.340550474099,36.2775578118078
63,63,대전소방본부,유성소방서,대전광역시 유성구 대덕대로 516,042-270-1613,042-270-1660,127.378856423679,36.3792031218467
64,64,울산소방본부,남부소방서,울산광역시 남구 삼산중로 149,052-210-4720,052-210-4719,129.335437238168,35.5471310587961
65,65,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6320,052-279-6319,129.412591421481,35.4823509677435
66,66,울산소방본부,북부소방서,울산광역시 북구 화동로 178,052-229-8001,052-229-8019,129.370124372854,35.6067845084934
67,67,울산소방본부,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6620,052-241-6619,129.306632415912,35.433382640775
68,68,세종소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4423,052-210-4419,129.299310543705,35.5629508161566
69,69,세종소방본부,세종소방서,세종특별자치시 절재로 301(어진동),044-300-6119,044-863-1018,127.273670545661,36.5062711695231
70,70,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119,044-862-1995,127.288913224767,36.6047990346054
71,71,경기재난안전본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212,031-2808-585,127.516447439974,37.8232633131636
72,72,경기재난안전본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212,031-8018-3519,126.833531629555,37.6548171400772
73,73,경기재난안전본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212,031-8018-3559,126.76962652301,37.663281925407
74,74,경기재난안전본부,과천소방서,경기도 과천시 통영로 12,02-331-4212,031-8018-3529,126.990524202648,37.4285651285435
75,75,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213,031-8018-3509,126.88521520719,37.4486864275472
76,76,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212,031-8018-3539,127.299506083286,37.3855778086279
77,77,경기재난안전본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214,031-747-0119,127.127833123057,37.598289419226
78,78,경기재난안전본부,군포소방서,경기도 군포시 고산로 429,031-479-8212,없음,126.927119541089,37.3525675777135
79,79,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212,031-757-0119,126.70853566977,37.6415647165561
80,80,경기재난안전본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0212,031-720-0509,127.232240434152,37.6433220225028
81,81,경기재난안전본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504,031-759-0119,127.047601020587,37.892263750205
82,82,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115,031-650-4214,031-754-0003,126.777827962778,37.4932097311295
83,83,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212,031-280-8521,127.119486972496,37.3860403913578
84,84,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212,031-280-8528,127.133433178913,37.4364295926771
85,85,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,031-8012-9212,031-280-8525,126.995993139674,37.2971991578539
86,86,경기재난안전본부,수원남부소방서,경기도 수원시 권선구 동수원로 286 (권선동),031-6398324,031-280-8529,127.036226331257,37.2542770657391
87,87,경기재난안전본부,시흥소방서,경기도 시흥시 정왕신길로 206 (정왕동),031-310-0212,031-280-8523,126.74028595101,37.3492188713936
88,88,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212,031-280-8527,126.832951782978,37.3217235661047
89,89,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212,031-280-8526,127.255718815458,37.0004756435509
90,90,경기재난안전본부,안양소방서,경기도 안양시 동안구 동안로 82,031-470-0212,031-280-8520,126.955195396007,37.3867823146304
91,91,경기재난안전본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8212,031-280-8524,126.989397922811,37.7958710296519
92,92,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212,031-280-8522,127.507339658147,37.5003383087525
93,93,경기북부소방재난본부,여주소방서,경기도 여주시 우암로 110,031-887-7214,031-310-0529,127.625960532511,37.2914087303953
94,94,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212,031-280-8694,127.069010423922,38.0481565554784
95,95,경기북부소방재난본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212,031-310-0519,127.064634404582,37.1550196619629
96,96,경기북부소방재난본부,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0212,031-310-0509,127.190162421853,37.2324995384674
97,97,경기북부소방재난본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0214,031-280-8607,126.974762404818,37.3442019014818
98,98,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48,031-849-7212,031-280-8611,127.0357888712,37.7373116873371
99,99,경기북부소방재난본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212,031-280-8615,127.431294360253,37.2820992897944
100,100,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212,031-280-8608,126.789974040238,37.8475313715969
101,101,경기북부소방재난본부,송탄소방서,경기도 평택시 경기대로 1637,031-685-8212,031-280-8613,127.062058236186,37.0900540551189
102,102,경기북부소방재난본부,평택소방서,경기도 평택시 남부문예회관앞길 11,031-8053-6212,031-280-8609,127.433049281431,37.1025803720011
103,103,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212,031-280-8606,127.202616271935,37.8913503171125
104,104,경기북부소방재난본부,하남소방서,경기도 하남시 대청로 76 (신장동),031-799-4212,031-280-8614,127.220423156249,37.5399007653655
105,105,경기북부소방재난본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212,031-280-8610,126.920621285938,37.1310105018896
106,106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119,043-767-4119,128.872661829929,37.7570288036781
107,107,강원소방본부,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-681-1119,043-773-0119,128.473885317207,38.3769108960005
108,108,강원소방본부,동해소방서,강원도 동해시 천곡로 120,033-533-2119,043-740-7019 ,129.118898233184,37.5245566732594
109,109,강원소방본부,삼척소방서,강원도 삼척시 봉황로 101,033-572-9119,043-730-1819,129.171313464601,37.4464963660703
110,110,강원소방본부,속초소방서,강원도 속초시 미시령로 3226,033-636-2119,043-880-0199,128.560249058444,38.2032803714329
111,111,강원소방본부,양구소방서,강원도 양구군 양구읍 중심로 92,033-482-0119,043-641-7139,127.993971056605,38.0990682340466
