관할,관할서,해수욕장여부,장소,금지기간,금지구역 지정 세부구역,금지대상,기타사항
중부청,인천해양경찰서,Y,"을왕, 왕산, 이일레, 서포리, 장경리, 십리포",해수욕장 개장기간,수영경계선 기준 내측 해상 및 외측 20m이내 해상(수영금지선이 설치되지 아니한 Y은 해안선으로부터 50m이내 해상),동력수상레저기구,
중부청,인천해양경찰서,N,무의～잠진 도선항로(잠진선착장),연중,잠진～대무의도 선착장 양끝단을 잇는 직선을 기준으로 좌우측 0.1마일 해상,수상레저기구일체,
중부청,인천해양경찰서,N,시화호 배수갑문 앞 해상(평택과 관할 경계구역),연중,제1호 배수갑문부터 방아머리 선착장 방향 육상 500m 지점 및 제방방향 육상 340m 지점과 직선으로 37°17′540″N-126°34′400″E 해점을 연결한 내측해역,수상레저기구일체,
중부청,인천해양경찰서,N,"강화도 주변해역(대명포구,동막포구) (NLL-1)",연중,김포-강화도간 초지대교 북쪽해역 및 강화도 최서단 죽도에서 석모도 최남단 연결한 북쪽해역,수상레저기구일체,
중부청,인천해양경찰서,N,영종도 서쪽해역(덕교선착장) (NLL-2),연중,①주문도 최남단에서 ②석모도 최남단 ③37-30.10.07N 126-15.52.67E(동경측지계 37-30N 126-16E)④37-20.00.40N 125-59.52.77E(동경측지계 37-20N 126-00E)⑤37-30.10.07N 125-59.52.76E(동경측지계 37-30N 126-00E)⑥37-31.31.06N 126-02.52.74E(동경측지계 37-31-21N 126-03E)⑦37-34.40.04N 126-02.52.74E(동경측지계 37-34-30N 126-03E) ⑧37-34.40.04N 126-09.31.70E(동경측지계 37-34-30N 126-09-39E)를 연결한 내측 해역,수상레저기구일체,
중부청,인천해양경찰서,N,시화호 조력발전소 앞 해상,연중,①37-18.48.0N 126-36.27.0E②37-18.52.9N 126-36.22.7E③37-19.01.2N 126-36.25.9E④37-19.13.5N 126-36.24.5E⑤37-19.17.2N 126-36.33.7E⑥37-19.11.8N 126-36.41.5E⑦37-19.05.1N 126-36.46.8E ⑧37-18.56.0N 126-36.51.6E다음 각 호의 지점을 순차적으로 연결한 내측 해역,수상레저기구일체,
중부청,태안서,Y,"꽃지, 삼봉, 백사장, 몽산포, 연포, 만리포, 학암포",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 20m이내,동력수상레저기구,
중부청,보령서,Y,"춘장대, 대천, 무창포",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 20m이내 ,동력수상레저기구,
중부청,보령서,N,서천군 서울시 공무원연수원 앞 해상,연중,"36-08.15N 136-33.30E, 36.08.00N 126-33.15E, 36-07.70N 126-34.40E의 각 지점을 연결한 내측 수역",수상레저기구일체,
중부청,평택서,Y,"난지도, 제부도, 왜목Y,방아머리Y",해수욕장 개장기간,수영금지선 내측 및 외측으로 20m이내 수역,수상레저기구일체,
중부청,평택서,N,시화호 방아머리 배수갑문(내측)시화호 조력발전소 수문 부근(내측),연중,"방아머리 배수갑문(300*400m), 조력발전소 수문(1200*300m)",수상레저기구일체,
동해청,속초서,Y,"화진포, 송지호, 봉수대, 삼포, 백도, 아야진, 천진, 봉포, 봉포캔신텅리조트, 등대, 속초, 외옹치, 낙산, 동호, 하조대, 중광정, 죽도, 인구, 주문진 Y",해수욕장 개장기간,물놀이한계선으로부터 외측 20m 해역 내,동력수상레저기구,
동해청,속초서,N,화진포 해수욕장 이북해역,연중,화진포 해수욕장 이북해역 (북위 38-29-05N 이북),동력수상레저기구,
동해청,속초서,N," 봉포, 속초, 영진 연안정비구역",연중,"봉포, 속초해변에서 잠제까지 200m 해역내                                                    ",동력수상레저기구,
동해청,속초서,N," 봉포, 속초, 영진 연안정비구역",연중,영진해변에서 잠제까지 250m 해역내,동력수상레저기구,
동해청,동해서,Y,"연곡, 사천진, 사천, 순긋,사근진,경포,강문,송정,안목,등명,정동진,금진,옥계,망상리조트.망상,대진,추암,증산,삼척,맹방,덕산,용화,장호 (Y)",해수욕장 개장기간,물놀이한계선으로부터  외측 10m해상까지,수상레저기구일체,
동해청,울진서,Y,"나곡, 후정, 봉평, 망양정, 기성망양, 구산, 후포, 고래불, 대진,경정, 오보, 하저, 남호, 장사 ",해수욕장 개장기간,수영경계선 외측 10m이내,수상레저기구일체,
동해청,포항서,Y,"화진, 월포, 칠포, 영일대, 도구, 구룡포, 오류, 전촌, 나정, 봉길, 관성",해수욕장개장기간/연중,수영경계선 외곽 10m 안쪽 해역/ 잠제설치 주위 해역,수상레저기구일체,
동해청,포항서,N,포항 송도,연중,"* 잠제설치 구역 기준으로 내측해상 50M, 외측해상 100M,    방파제측으로 50M 이내의 해상",수상레저기구일체,
서해청,완도서,Y,"명사십리(1), 중리(1), 예송리(1), 송호리(1), 사구미(1), 가사리(1), 금일(1)",해수욕장 개장기간,"수영금지선 내측, 또는 금지선 미설치시 해안선으로부터 50~150M",수상레저기구일체,
서해청,완도서,N,정도리 유원지(1),연중,"수영금지선 내측, 또는 금지선 미설치시 해안선으로부터 70M",수상레저기구일체,
서해청,목포서,Y,"외달도(1), 가마미(1), 대광(1), 우전(1), 홀통(1), 톱머리(1), 가계(1), 금갑(1), 관매도(1)",해수욕장 개장기간,"수영금지선 외측 20m 해상까지(가미미 Y은 영광원전 방파제측면 50m 포함), 또는 금지선 미설치시 (톱머리, 금갑 해안으로부터 70m까지 / 외달도, 관매도해안선으로부터 80m까지 /  우전 해안으로부터 100m까지 / 가계, 홀통 해안으로부터 120m까지 / 가미미 해안으로부터 220m까지 / 대광 해안으로부터 500m까지)",동력수상레저기구,
서해청,목포서,N,진도대교 수로(1),연중,진도대교를 기준으로 좌·우 300m 이내 해상,수상레저기구일체,
서해청,부안서,Y,"변산, 격포, 고사포, 모항, 상록, 위도, 동호, 구시포 ",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 20m이내,동력수상레저기구,
서해청,부안서,N,가력도 배수갑문,연중,"<가력도 배수갑문>기준점 A(35-44' 13-11""N, 126-31' 06-38""E) / 기준점 B(35-43' 05-23""N, 126-29' 40-25""E) / 기준점 C(35-42' 18-85""N, 126-30' 36-21""E) / 기준점 D(35-43' 28-45""N, 126-32' 01-66""E)의 지점을 연결한 내측 수역",수상레저기구일체,
서해청,부안서,N, 변산 대명리조트 앞 해상,연중," 35-38-00-60N, 126-28-02-55E점과 35-37-47-82N, 126-28-09-66E점의 각 지점을 연결한 내측수역",,
서해청,부안서,N,미여도(쌍여도) 주변 해상,연중,전북 고창군 미여도(쌍여도) 서방 끝단으로부터 주변 1.5해리권 해상,수상레저기구일체,"주말, 공휴일 제외"
서해청,군산서,Y,선유도,해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 20m이내,동력수상레저기구,
서해청,군산서,N,신시도 배수갑문,연중,"<신시도 배수갑문>기준점 A(35-48-56.47N 126-28-38.06E), 기준점 B(35-48-43.61N 126-28-55.43E), 기점A(35-48-39.13N 126-28-23.85E), 기점B(35-48-41.83N 126-28-04.10E), 기점C(35-48-11.67N 126-28-19.80E), 기점D(35-48-13.93N 126-29-11.15E)의 각 지점 연결선 내측해역",수상레저기구일체,
서해청,군산서,N,군산시 옥서면 선연리 미공군 활주로 끝단 전면 해상,연중,"<전북 군산시 옥서면 선연리 하제 인근 해상>금지구역 기점 1 : 35°53′13″N, 126°36′39″E 금지구역 기점 2 : 35°52′56″N, 126°37′48″E 금지구역 기점 3 :35°52′03″N, 126°36′39″E 금지구역 기점 4 : 35°51′46″N, 126°37′48″E) 의 지점을 연결한 내측 수역",수상레저기구일체,
서해청,군산서,N,비응항 주변해상,연중,"<전북 군산시 비응도동 비응항 주변 해상>기준점 A : 35°56′05″N, 126°31′31″E /기준점 B : 35°55′41″N, 126°31′05″E /기준점 C : 35°55′41″N, 126°31′48″E)의 지점을 연결한 내측수역",수상레저기구일체,
서해청,군산서,N,직도 주변 해상,연중,전북 군산시 직도 서방 끝단으로부터 주변 3해리권 해상,수상레저기구일체,
서해청,여수서,Y,"만성리, 방죽포, 장등, 발포, 나로도, 율포, 익금, 대전, 덕흥, 남열",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 10m이내,수상레저기구일체,
서해청,여수서,Y,웅천친수공원,매년7월1일~해수욕장 폐장시까지,"가. Y 수영경계선 기준 내측 및 외측 10m이내 해상나. 웅천해양레저체험장(34-44-44N,127-40-09E)~장도 큰바위(34-44-32N, 127-39-56E)를 직선으로 연결한 선의 웅천친수공원Y 쪽 해상 (가. 구역 제외)",수상레저기구일체,
서해청,여수서,Y,웅천친수공원,매년7월1일~해수욕장 폐장시까지,"가. Y 수영경계선 기준 내측 및 외측 10m이내 해상나. 웅천해양레저체험장(34-44-44N,127-40-09E)~장도 큰바위(34-44-32N, 127-39-56E)를 직선으로 연결한 선의 웅천친수공원Y 쪽 해상 (가. 구역 제외)",동력수상레저기구,
서해청,여수서,N,교통안전특정해역(여수구역),연중,"다음 각 호의 기점을 순차적으로 연결한 선 안의 해역1. 북위 34도50분23초, 동경 127도46분52초2. 북위 34도43분15초, 동경 127도49분13초3. 북위 34도40분18초, 동경 127도54분40초4. 북위 34도35분41초, 동경 127도55분22초5. 북위 34도35분41초, 동경 127도59분52초6. 북위 34도39분47초, 동경 127도59분40초7. 북위 34도43분05초, 동경 127도53분22초8. 북위 34도43분16초, 동경 127도51분34초9. 북위 34도44분01초, 동경 127도50분34초10. 북위 34도44분57초, 동경 127도49분58초11. 북위 34도46분13초, 동경 127도49분55초12. 북위 34도50분53초, 동경 127도48분22초13. 북위 34도50분23초, 동경 127도46분52초",무동력수상레저기구,
남해청,부산서,Y,송정·해운대·광안리·송도·다대포,해수욕장 개장기간,"Y 안전수역 및 레저활동금지구역 부표 이내 해역 (해안선으로부터 100m이내 해상, 다대포는 120m이내 해상)",수상레저기구일체,
남해청,통영서,Y,"남일대, 비진도, 통영공설(도남), 봉암, 대항, 학동, 와현, 구조라, 명사, 송정, 상주, 두곡·월포, 덕포, 사촌, 죽림, 농소, 물안(옆개), 흥남",해수욕장 개장기간,수영경계선 안쪽 및 외측 10m 아내 해상(수영경계선이 설치되지 않은 지역은 해안선으로부터 50m이내 해상),수상레저기구일체,
남해청,통영서,N,"사곡만유원지, 하이면제전마을유원지, 일운면망치마을유원지",7.1~8.31,해안선으로부터 50m이내 해상,수상레저기구일체,
남해청,통영서,N,"상족암유원지, 당항포유원지",연중,무동력 영업구역 내,동력수상레저기구,
남해청,창원서,Y,광암,해수욕장 개장기간,수영경계선 안쪽 및 외측 10m 아내 해상,수상레저기구일체,
남해청,창원서,N,한국석유공사 거제비축기지 부두 시설물 주변 해상,연중,부두 시설물 2m 이내 해상(원유선박 접안시 선박으로부터 20m 이내),수상레저기구일체,
남해청,울산서,Y,"일산, 진하, 일광, 임랑",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 30m이내,수상레저기구일체,
제주청,제주서,Y,김녕·함덕·삼양·이호·곽지·협재·금능Y,해수욕장 개장기간,수영경계선 외측 10m부터 내측해역,수상레저기구일체,
제주청,서귀포서,Y,"중문, 화순, 표선, 신양",해수욕장 개장기간,수영경계선 기준 내측해상 및 외측 10m이내,수상레저기구일체,
